-6.4654,1901,1,UKR,,
-4.1714,1901,2,UKR,,
2.32317,1901,3,UKR,,
8.90538,1901,4,UKR,,
15.2424,1901,5,UKR,,
22.0292,1901,6,UKR,,
21.1644,1901,7,UKR,,
20.7656,1901,8,UKR,,
13.525,1901,9,UKR,,
8.65473,1901,10,UKR,,
1.06525,1901,11,UKR,,
0.51871,1901,12,UKR,,
-0.4635,1902,1,UKR,,
-2.8422,1902,2,UKR,,
0.96099,1902,3,UKR,,
6.33487,1902,4,UKR,,
13.1116,1902,5,UKR,,
18.929,1902,6,UKR,,
18.4786,1902,7,UKR,,
19.1208,1902,8,UKR,,
13.554,1902,9,UKR,,
6.68685,1902,10,UKR,,
-2.9233,1902,11,UKR,,
-7.5526,1902,12,UKR,,
-4.4024,1903,1,UKR,,
-0.086,1903,2,UKR,,
2.98417,1903,3,UKR,,
9.66253,1903,4,UKR,,
15.0631,1903,5,UKR,,
19.3681,1903,6,UKR,,
20.7521,1903,7,UKR,,
19.1886,1903,8,UKR,,
15.2996,1903,9,UKR,,
8.00006,1903,10,UKR,,
3.10431,1903,11,UKR,,
-3.5993,1903,12,UKR,,
-7.0493,1904,1,UKR,,
-0.5665,1904,2,UKR,,
-0.9661,1904,3,UKR,,
7.33403,1904,4,UKR,,
12.8597,1904,5,UKR,,
17.0602,1904,6,UKR,,
19.3563,1904,7,UKR,,
19.0953,1904,8,UKR,,
13.1612,1904,9,UKR,,
9.01155,1904,10,UKR,,
1.22744,1904,11,UKR,,
-1.2793,1904,12,UKR,,
-7.5397,1905,1,UKR,,
-3.4093,1905,2,UKR,,
-0.3685,1905,3,UKR,,
6.99892,1905,4,UKR,,
15.9273,1905,5,UKR,,
19.8671,1905,6,UKR,,
20.7117,1905,7,UKR,,
20.9019,1905,8,UKR,,
15.4725,1905,9,UKR,,
8.70224,1905,10,UKR,,
4.5052,1905,11,UKR,,
-2.7508,1905,12,UKR,,
-3.6281,1906,1,UKR,,
-3.4658,1906,2,UKR,,
3.36395,1906,3,UKR,,
10.2163,1906,4,UKR,,
17.9975,1906,5,UKR,,
19.7565,1906,6,UKR,,
20.7389,1906,7,UKR,,
17.9307,1906,8,UKR,,
13.017,1906,9,UKR,,
7.16083,1906,10,UKR,,
3.69797,1906,11,UKR,,
-2.4299,1906,12,UKR,,
-7.4064,1907,1,UKR,,
-7.3629,1907,2,UKR,,
-1.386,1907,3,UKR,,
5.75659,1907,4,UKR,,
16.8773,1907,5,UKR,,
18.3341,1907,6,UKR,,
19.6908,1907,7,UKR,,
18.6228,1907,8,UKR,,
14.33,1907,9,UKR,,
10.7118,1907,10,UKR,,
-1.4561,1907,11,UKR,,
-4.6399,1907,12,UKR,,
-4.95,1908,1,UKR,,
-1.9147,1908,2,UKR,,
-0.3439,1908,3,UKR,,
6.98943,1908,4,UKR,,
14.8861,1908,5,UKR,,
18.5477,1908,6,UKR,,
19.829,1908,7,UKR,,
18.5463,1908,8,UKR,,
13.9126,1908,9,UKR,,
6.40695,1908,10,UKR,,
-2.6608,1908,11,UKR,,
-6.1183,1908,12,UKR,,
-8.4793,1909,1,UKR,,
-8.161,1909,2,UKR,,
-0.1718,1909,3,UKR,,
6.63075,1909,4,UKR,,
13.6623,1909,5,UKR,,
17.9377,1909,6,UKR,,
20.4468,1909,7,UKR,,
20.3864,1909,8,UKR,,
18.3712,1909,9,UKR,,
11.2832,1909,10,UKR,,
2.78317,1909,11,UKR,,
-0.538,1909,12,UKR,,
-2.48,1910,1,UKR,,
-0.7001,1910,2,UKR,,
1.75053,1910,3,UKR,,
9.68574,1910,4,UKR,,
15.9813,1910,5,UKR,,
19.6913,1910,6,UKR,,
20.2347,1910,7,UKR,,
18.3907,1910,8,UKR,,
14.5187,1910,9,UKR,,
6.80165,1910,10,UKR,,
3.23981,1910,11,UKR,,
-0.5671,1910,12,UKR,,
-5.9662,1911,1,UKR,,
-10.307,1911,2,UKR,,
-0.1998,1911,3,UKR,,
8.39718,1911,4,UKR,,
16.3015,1911,5,UKR,,
17.0365,1911,6,UKR,,
19.0662,1911,7,UKR,,
19.2904,1911,8,UKR,,
13.9627,1911,9,UKR,,
8.79576,1911,10,UKR,,
3.84991,1911,11,UKR,,
-3.1716,1911,12,UKR,,
-8.0073,1912,1,UKR,,
-4.6869,1912,2,UKR,,
3.38214,1912,3,UKR,,
6.6642,1912,4,UKR,,
12.2835,1912,5,UKR,,
19.3215,1912,6,UKR,,
18.3013,1912,7,UKR,,
18.5756,1912,8,UKR,,
13.1803,1912,9,UKR,,
4.37228,1912,10,UKR,,
1.27875,1912,11,UKR,,
0.21634,1912,12,UKR,,
-4.7167,1913,1,UKR,,
-4.4107,1913,2,UKR,,
4.36498,1913,3,UKR,,
10.7928,1913,4,UKR,,
13.1364,1913,5,UKR,,
16.494,1913,6,UKR,,
18.8343,1913,7,UKR,,
19.8098,1913,8,UKR,,
15.2498,1913,9,UKR,,
