tas,"	Year", Month, Country, ISO3, ISO2
25.7043,1915,7,GHA,,
25.3271,1915,8,GHA,,
25.5208,1915,9,GHA,,
26.2785,1915,10,GHA,,
26.8101,1915,11,GHA,,
25.8751,1915,12,GHA,,
25.8183,1916,1,GHA,,
27.7694,1916,2,GHA,,
29.245,1916,3,GHA,,
28.3628,1916,4,GHA,,
27.4981,1916,5,GHA,,
26.0676,1916,6,GHA,,
25.7319,1916,7,GHA,,
24.7691,1916,8,GHA,,
24.9975,1916,9,GHA,,
25.9481,1916,10,GHA,,
26.0557,1916,11,GHA,,
26.5206,1916,12,GHA,,
27.0232,1917,1,GHA,,
29.0357,1917,2,GHA,,
28.4903,1917,3,GHA,,
28.429,1917,4,GHA,,
27.2685,1917,5,GHA,,
25.9998,1917,6,GHA,,
25.7021,1917,7,GHA,,
25.3919,1917,8,GHA,,
25.0927,1917,9,GHA,,
26.0457,1917,10,GHA,,
25.7263,1917,11,GHA,,
26.1653,1917,12,GHA,,
26.3673,1918,1,GHA,,
27.3744,1918,2,GHA,,
27.9685,1918,3,GHA,,
28.5212,1918,4,GHA,,
27.4642,1918,5,GHA,,
26.604,1918,6,GHA,,
25.589,1918,7,GHA,,
24.5045,1918,8,GHA,,
25.0007,1918,9,GHA,,
26.4382,1918,10,GHA,,
26.7091,1918,11,GHA,,
26.456,1918,12,GHA,,
26.996,1919,1,GHA,,
29.1327,1919,2,GHA,,
29.496,1919,3,GHA,,
29.015,1919,4,GHA,,
28.0208,1919,5,GHA,,
26.604,1919,6,GHA,,
25.5688,1919,7,GHA,,
25.3475,1919,8,GHA,,
25.7684,1919,9,GHA,,
26.8304,1919,10,GHA,,
27.3254,1919,11,GHA,,
26.5602,1919,12,GHA,,
27.0048,1920,1,GHA,,
29.1327,1920,2,GHA,,
29.4998,1920,3,GHA,,
29.0675,1920,4,GHA,,
28.1177,1920,5,GHA,,
26.6208,1920,6,GHA,,
25.6165,1920,7,GHA,,
25.3475,1920,8,GHA,,
25.8109,1920,9,GHA,,
26.8285,1920,10,GHA,,
27.2608,1920,11,GHA,,
26.533,1920,12,GHA,,
26.9359,1921,1,GHA,,
29.1045,1921,2,GHA,,
29.5307,1921,3,GHA,,
29.0473,1921,4,GHA,,
28.0103,1921,5,GHA,,
26.5239,1921,6,GHA,,
25.6353,1921,7,GHA,,
25.3919,1921,8,GHA,,
25.8296,1921,9,GHA,,
26.9054,1921,10,GHA,,
27.2627,1921,11,GHA,,
26.5248,1921,12,GHA,,
27.0232,1922,1,GHA,,
29.1327,1922,2,GHA,,
29.5749,1922,3,GHA,,
29.0473,1922,4,GHA,,
28.1177,1922,5,GHA,,
26.6535,1922,6,GHA,,
25.6353,1922,7,GHA,,
24.5727,1922,8,GHA,,
24.831,1922,9,GHA,,
26.2043,1922,10,GHA,,
26.7372,1922,11,GHA,,
26.0373,1922,12,GHA,,
27.1687,1923,1,GHA,,
28.2224,1923,2,GHA,,
28.6818,1923,3,GHA,,
27.555,1923,4,GHA,,
27.3231,1923,5,GHA,,
26.4413,1923,6,GHA,,
25.6808,1923,7,GHA,,
24.7968,1923,8,GHA,,
25.6537,1923,9,GHA,,
26.5608,1923,10,GHA,,
26.7676,1923,11,GHA,,
26.914,1923,12,GHA,,
26.3759,1924,1,GHA,,
29.7697,1924,2,GHA,,
29.8843,1924,3,GHA,,
28.205,1924,4,GHA,,
27.4382,1924,5,GHA,,
26.2754,1924,6,GHA,,
25.1469,1924,7,GHA,,
25.155,1924,8,GHA,,
25.9428,1924,9,GHA,,
26.4634,1924,10,GHA,,
27.0003,1924,11,GHA,,
26.329,1924,12,GHA,,
25.0259,1925,1,GHA,,
28.1726,1925,2,GHA,,
29.2126,1925,3,GHA,,
29.2812,1925,4,GHA,,
27.7366,1925,5,GHA,,
25.5235,1925,6,GHA,,
25.2636,1925,7,GHA,,
24.8642,1925,8,GHA,,
25.4636,1925,9,GHA,,
26.001,1925,10,GHA,,
27.3088,1925,11,GHA,,
25.7674,1925,12,GHA,,
26.6192,1926,1,GHA,,
29.969,1926,2,GHA,,
29.9736,1926,3,GHA,,
29.3465,1926,4,GHA,,
28.0081,1926,5,GHA,,
26.1901,1926,6,GHA,,
24.769,1926,7,GHA,,
26.0278,1926,8,GHA,,
26.6799,1926,9,GHA,,
27.6403,1926,10,GHA,,
27.2324,1926,11,GHA,,
27.0182,1926,12,GHA,,
26.0868,1927,1,GHA,,
29.1232,1927,2,GHA,,
28.2936,1927,3,GHA,,
28.8799,1927,4,GHA,,
27.5207,1927,5,GHA,,
25.9895,1927,6,GHA,,
25.33,1927,7,GHA,,
24.5545,1927,8,GHA,,
25.8918,1927,9,GHA,,
26.186,1927,10,GHA,,
27.0163,1927,11,GHA,,
25.9968,1927,12,GHA,,
26.3588,1928,1,GHA,,
27.9825,1928,2,GHA,,
28.2335,1928,3,GHA,,
27.2493,1928,4,GHA,,
26.9609,1928,5,GHA,,
26.5793,1928,6,GHA,,
25.5999,1928,7,GHA,,
24.2577,1928,8,GHA,,
25.3327,1928,9,GHA,,
25.8468,1928,10,GHA,,
